userId,deleted,password,username,sex,test
100,0,207a79167afc40c9998f6af568d2885b,zhangguorong,1,a
101,0,10510ab2c7a44766959ecc77f98319c6,liuyifei,1,b
102,1,566240ca86404eaab866bae79fdeba97,yangmi,0,c
103,0,04d75e07de614fcb9226e11e3caa1722,zhaohaitang,1,c
104,0,5f3bb5b92678456e9727752abfbabd29,huyifei,2,c
105,0,a93885f5513c4b969e5d2bc4689921c1,zhangwei,2,c
106,1,cd068af1d6c24c0f849107688dd5994d,liushishi,2,c
107,0,e007b34bb7b64f70853eed9667252400,zhaoliying,2,c
108,0,b0fe5e5473ea42e183062b652e9559e3,tangyan,2,c
109,0,4bb357d208da4d22b478cdcf9c5aa7fc,dengchao,1,c
110,0,f4674683aa574b0aacec227a03a84d00,sunli,2,c
111,0,b2d40b24567c4c739701cd3a7e8f5cf5,caixukun,2,c
112,1,64bcd0e4e51a4553ab4484085632fcde,gaoyuanyuan,2,c
113,0,f97f63b801fd49c9941ff43171aa0143,wuyifan,2,c
114,0,3bf76480f23d46da8b142a8f117d3a09,baobeier,1,c
115,0,05587c40560b45b4b443bafdb7072d11,chenzihan,2,c
116,0,a64d579825c54a6db4d2e6c64c370758,tanke,2,c
117,0,af5d37ca3cc04743bda0bd860225bd08,nigulasizhaosi,1,c
118,0,b96dce888046440cbeafb6a3548c1496,geyou,2,c
119,1,2cf5f5a3c3da4e31880427de926cb70a,zahngzimo,0,d
120,0,fafd6d3bc5fb4aab91c8a1005e2958ae,huojianhua,2,d
121,0,154f51a5ee3f425db1d966aa08d853e4,huangxiaoming,1,d
122,1,c340bb0ca6534de6b645c413a927c826,jingboran,2,d
123,0,273278388b72433fb6522c1c9ca9a321,linzhiying,2,d
